nullLeader,modId,command,stateId,circFlow,pressureFlow,valve1,valve2,valve3,valve4,valve5,valve6,valve7,valve8,valve9,valve10,valve11,valve12,valve13,valve14,valve15,valve16,transTimeFlag,transTimeSp,pressureSP,oxySP,presInterval,flowInterval,oxyInterval,reportInterval,oxyTemp,oxyCircChannel,pumpSpeedRatio,circPumpCal,pressurePumpCal,pressureKp,pressureKi,pressureKd,oxyKp,oxyKi,oxyKd,flowInstalled,pressureInstalled,oxyInstalled,activeOxyChannel1,activeOxyChannel2,activeOxyChannel3,activeOxyChannel4,pump1Cw,pump2Cw,pump3Cw,pump4Cw,pump1DirPin,pump1StepPin,pump2DirPin,pump2StepPin,pump3DirPin,pump3StepPin,pump4DirPin,pump4StepPin,valve1Pin,valve2Pin,valve3Pin,valve4Pin,valve5Pin,valve6Pin,valve7Pin,valve8Pin,valve9Pin,valve10Pin,valve11Pin,valve12Pin,valve13Pin,valve14Pin,valve15Pin,valve16Pin,oxyConfigParameter,pressure0Address,pressureChannel,flow0Address,dispensePara,dispenseVolumeSP,pcBaudRate,oxyBaudRate,pressureBaudRate,flagCheck,nullTrailer
int,int,int,int,int,int,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,int,double,double,double,double,double,double,float,int,float,float,float,double,double,double,double,double,double,int,int,int,int,int,int,int,bool,bool,bool,bool,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,double,double,double,int,int
0,2501,1002,8001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,0,115200,115200,115200,4001,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,1000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,0,115200,115200,115200,4002,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,0,115200,115200,115200,4003,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,1,0,115200,115200,115200,4004,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,2,0,115200,115200,115200,4005,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,2,0,115200,115200,115200,4006,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,2,0,115200,115200,115200,4007,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,2,0,115200,115200,115200,4008,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,3,0,115200,115200,115200,4009,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,3,0,115200,115200,115200,4010,0
0,2501,1002,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,100,100,60000,600000,0,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,0,0,115200,115200,115200,4001,0
0,2501,1002,8011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60000,200,20,100,100,60000,1000,20,0,0.9,0.003125,0.003125,2,5,1,0.2,0.05,0.01,0,0,0,0,0,0,0,0,0,1,1,37,38,35,36,33,34,31,32,30,29,28,27,26,25,24,23,2,3,4,5,6,7,8,9,47,54,0,8,3,0,115200,115200,115200,4011,0
